Время захвата пакетов;Общее число захваченных пакетов;Число пакетов localhost;Число пакетов broadcast;Число UDP сегментов;Число TCP сегментов;Число пакетов с опциями;Число фрагментированных пакетов;Общая интенсивность пакетов;Количество пакетов типа FIN;Количество пакетов типа SIN;Число пакетов, входящих в сеть;Число UDP сегментов входящих в сеть;Число TCP сегментов, входящих в сеть;Число пакетов с опциями, входящих в сеть;Число фрагментированных пакетов, входящих в сеть;Интенсивность пакетов, входящих в сеть;Количество пакетов типа FIN, входящих в сеть;Количество пакетов типа SIN, входящих в сеть;Число пакетов, исходящих из сети;Число UDP сегментов, исходящих из сети;Число TCP сегментов, исходящих из сети;Число пакетов с опциями, исходящих из сети;Число фрагментированных пакетов, исходящих из сети;Интенсивность пакетов, исходящих из сети;Количество пакетов типа FIN, исходящих из сети;Количество пакетов типа SIN, исходящих из сети
17:58:22-17:58:26;39;0;0;0;39;0;0;9,75;0;3;19;0;19;0;0;4,75;0;0;20;0;20;0;0;5;0;3
17:58:26-17:58:30;12;0;0;0;12;0;0;3;0;0;7;0;7;0;0;1,75;0;0;5;0;5;0;0;1,25;0;0
17:58:30-17:58:34;37;0;3;3;34;0;0;9,25;0;1;19;0;19;0;0;4,75;0;0;15;0;15;0;0;3,75;0;1
17:58:34-17:58:38;12;0;0;0;11;0;0;3;0;0;6;0;6;0;0;1,5;0;0;5;0;5;0;0;1,25;0;0
17:58:38-17:58:42;17;0;3;3;13;0;0;4,25;0;1;7;0;7;0;0;1,75;0;0;6;0;6;0;0;1,5;0;1
17:58:42-17:58:46;69;0;0;13;49;5;0;17,25;0;3;25;0;25;0;0;6,25;0;0;42;13;24;5;0;10,5;0;3
17:58:46-17:58:50;150;0;0;7;141;0;0;37,5;0;9;72;0;72;0;0;18;0;0;76;7;69;0;0;19;0;9
17:58:50-17:58:54;73;0;7;21;51;0;0;18,25;0;5;24;0;24;0;0;6;0;0;41;14;27;0;0;10,25;0;5
17:58:54-17:58:58;46;0;10;18;28;0;0;11,5;0;2;15;0;15;0;0;3,75;0;0;21;8;13;0;0;5,25;0;2
17:58:58-17:59:02;82;0;7;21;60;0;0;20,5;0;2;35;0;35;0;0;8,75;0;0;39;14;25;0;0;9,75;0;2
17:59:02-17:59:06;36;0;5;33;3;0;0;9;0;1;1;0;1;0;0;0,25;0;0;30;28;2;0;0;7,5;0;1
17:59:06-17:59:10;21;0;0;4;16;0;0;5,25;0;0;9;0;9;0;0;2,25;0;0;11;4;7;0;0;2,75;0;0
17:59:10-17:59:14;11;0;3;4;7;0;0;2,75;0;0;4;0;4;0;0;1;0;0;4;1;3;0;0;1;0;0
17:59:14-17:59:18;69;0;0;0;69;0;0;17,25;0;5;34;0;34;0;0;8,5;0;0;35;0;35;0;0;8,75;0;5
17:59:18-17:59:22;141;0;0;1;140;0;0;35,25;0;9;72;0;72;0;0;18;0;0;69;1;68;0;0;17,25;0;9
17:59:22-17:59:26;18;0;0;3;15;0;0;4,5;0;1;8;0;8;0;0;2;0;0;10;3;7;0;0;2,5;0;1
17:59:26-17:59:30;45;0;0;1;44;0;0;11,25;0;2;24;0;24;0;0;6;0;0;21;1;20;0;0;5,25;0;2
17:59:30-17:59:34;49;0;0;3;46;0;0;12,25;0;1;26;0;26;0;0;6,5;0;0;23;3;20;0;0;5,75;0;1
17:59:34-17:59:38;8;0;2;6;2;0;0;2;0;0;1;0;1;0;0;0,25;0;0;5;4;1;0;0;1,25;0;0
17:59:38-17:59:42;24;0;0;7;15;0;0;6;0;1;8;0;8;0;0;2;0;0;14;7;7;0;0;3,5;0;1
17:59:42-17:59:46;72;0;4;25;40;7;0;18;0;3;20;0;20;0;0;5;0;0;48;21;20;7;0;12;0;3
17:59:46-17:59:50;149;0;0;11;138;0;0;37,25;0;9;70;0;70;0;0;17,5;0;0;79;11;68;0;0;19,75;0;9
17:59:50-17:59:54;111;0;12;29;81;0;0;27,75;0;5;41;0;41;0;0;10,25;0;0;57;17;40;0;0;14,25;0;5
17:59:54-17:59:58;31;0;13;20;11;0;0;7,75;0;0;7;0;7;0;0;1,75;0;0;11;7;4;0;0;2,75;0;0
17:59:58-18:00:02;98;0;10;32;61;5;0;24,5;0;3;34;0;34;0;0;8,5;0;0;54;22;27;5;0;13,5;0;3
18:00:02-18:00:06;45;0;8;37;2;5;0;11,25;0;0;1;0;1;0;0;0,25;0;0;35;29;1;5;0;8,75;0;0
18:00:06-18:00:10;31;0;0;6;24;0;0;7,75;0;3;11;0;11;0;0;2,75;0;0;19;6;13;0;0;4,75;0;3
18:00:10-18:00:14;33;0;0;10;20;3;0;8,25;0;3;9;0;9;0;0;2,25;0;0;24;10;11;3;0;6;0;3
18:00:14-18:00:18;76;0;0;6;70;0;0;19;0;6;35;0;35;0;0;8,75;0;0;41;6;35;0;0;10,25;0;6
18:00:18-18:00:22;151;0;2;11;135;5;0;37,75;0;10;67;0;67;0;0;16,75;0;0;82;9;68;5;0;20,5;0;10
18:00:22-18:00:26;24;0;0;3;21;0;0;6;0;0;13;0;13;0;0;3,25;0;0;11;3;8;0;0;2,75;0;0
18:00:26-18:00:30;18;0;0;3;15;0;0;4,5;0;2;7;0;7;0;0;1,75;0;0;11;3;8;0;0;2,75;0;2
18:00:30-18:00:34;1887;0;5;38;1843;5;0;471,75;0;20;1423;8;1415;0;0;355,75;0;0;438;20;413;5;0;109,5;0;19
18:00:34-18:00:38;47;0;11;27;15;0;0;11,75;0;0;13;8;5;0;0;3,25;0;0;10;6;4;0;0;2,5;0;0
18:00:38-18:00:42;91;0;5;15;66;5;0;22,75;0;2;34;0;34;0;0;8,5;0;0;43;9;29;5;0;10,75;0;2
