Время захвата пакетов;Общее число захваченных пакетов;Число пакетов localhost;Число пакетов broadcast;Число UDP сегментов;Число TCP сегментов;Число пакетов с опциями;Число фрагментированных пакетов;Общая интенсивность пакетов;Количество пакетов типа FIN;Количество пакетов типа SIN;Число пакетов, входящих в сеть;Число UDP сегментов входящих в сеть;Число TCP сегментов, входящих в сеть;Число пакетов с опциями, входящих в сеть;Число фрагментированных пакетов, входящих в сеть;Интенсивность пакетов, входящих в сеть;Количество пакетов типа FIN, входящих в сеть;Количество пакетов типа SIN, входящих в сеть;Число пакетов, исходящих из сети;Число UDP сегментов, исходящих из сети;Число TCP сегментов, исходящих из сети;Число пакетов с опциями, исходящих из сети;Число фрагментированных пакетов, исходящих из сети;Интенсивность пакетов, исходящих из сети;Количество пакетов типа FIN, исходящих из сети;Количество пакетов типа SIN, исходящих из сети
17:52:22-17:52:26;11;0;2;7;4;0;0;2,75;0;0;2;0;2;0;0;0,5;0;0;7;5;2;0;0;1,75;0;0
17:52:26-17:52:30;2;0;0;2;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0,5;0;0
17:52:30-17:52:34;56;0;0;2;54;0;0;14;0;2;30;0;30;0;0;7,5;0;0;26;2;24;0;0;6,5;0;2
17:52:34-17:52:38;38;0;3;3;34;0;0;9,5;0;2;18;0;18;0;0;4,5;0;0;16;0;16;0;0;4;0;2
17:52:38-17:52:42;25;0;0;0;24;0;0;6,25;0;1;13;0;13;0;0;3,25;0;0;11;0;11;0;0;2,75;0;1
17:52:42-17:52:46;49;0;0;13;29;7;0;12,25;0;2;14;0;14;0;0;3,5;0;0;35;13;15;7;0;8,75;0;2
17:52:46-17:52:50;170;0;0;7;163;0;0;42,5;0;11;82;0;82;0;0;20,5;0;0;88;7;81;0;0;22;0;11
17:52:50-17:52:54;6;0;0;1;5;0;0;1,5;0;0;2;0;2;0;0;0,5;0;0;4;1;3;0;0;1;0;0
17:52:54-17:52:58;31;0;10;25;6;0;0;7,75;0;0;3;0;3;0;0;0,75;0;0;18;15;3;0;0;4,5;0;0
17:52:58-17:53:02;73;0;10;22;51;0;0;18,25;0;2;29;0;29;0;0;7,25;0;0;34;12;22;0;0;8,5;0;2
17:53:02-17:53:06;53;0;5;20;33;0;0;13,25;0;1;18;0;18;0;0;4,5;0;0;30;15;15;0;0;7,5;0;1
17:53:06-17:53:10;52;0;5;17;35;0;0;13;0;2;18;0;18;0;0;4,5;0;0;29;12;17;0;0;7,25;0;2
17:53:10-17:53:14;36;0;5;17;19;0;0;9;0;1;9;0;9;0;0;2,25;0;0;22;12;10;0;0;5,5;0;1
17:53:14-17:53:18;30;0;0;0;30;0;0;7,5;0;2;15;0;15;0;0;3,75;0;0;15;0;15;0;0;3,75;0;2
17:53:18-17:53:22;171;0;0;1;170;0;0;42,75;0;12;84;0;84;0;0;21;0;0;87;1;86;0;0;21,75;0;12
17:53:22-17:53:26;6;0;2;5;1;0;0;1,5;0;1;0;0;0;0;0;0;0;0;4;3;1;0;0;1;0;1
17:53:26-17:53:30;4;0;1;2;2;0;0;1;0;2;0;0;0;0;0;0;0;0;3;1;2;0;0;0,75;0;2
17:53:30-17:53:34;116;0;0;3;113;0;0;29;0;4;63;0;63;0;0;15,75;0;0;53;3;50;0;0;13,25;0;4
17:53:34-17:53:38;37;0;0;6;31;0;0;9,25;0;1;17;0;17;0;0;4,25;0;0;20;6;14;0;0;5;0;1
17:53:38-17:53:42;49;0;2;14;32;0;0;12,25;0;4;8;1;7;0;0;2;0;0;19;9;10;0;0;4,75;0;3
17:53:42-17:53:46;89;0;9;49;33;5;0;22,25;0;4;30;16;14;0;0;7,5;0;0;44;23;16;5;0;11;0;4
17:53:46-17:53:50;197;0;7;18;172;0;0;49,25;0;13;83;0;83;0;0;20,75;0;0;92;9;83;0;0;23;0;13
